# t,Ke0,Kd0,Ke1,Kd1,Ke2
0.000000000000000000e+00,2.335390490640555265e-12,-2.037908491499647271e-18,2.398929904643068668e-09,-4.065702548053027739e-18,2.623283133126362391e-15
4.374999999999999549e-03,9.964179881828258889e-06,-1.711073406270956069e-11,7.107809251931727738e-03,-1.927945767434156952e-10,1.082364823854573828e-08
8.750000000000000833e-03,1.109665590837848395e-03,-2.909559375969236308e-09,7.752187919724492504e-01,-4.331005107753284492e-08,1.089504646460674565e-06
1.312500000000000472e-02,8.898940998645132883e-03,-3.146871360646921755e-08,6.361986174600246180e+00,-4.672461060821552753e-07,7.494471880789482615e-06
1.750000000000000860e-02,2.459125567596769438e-02,-1.081569791418213173e-07,1.717772156555495400e+01,-1.417718799625791438e-06,1.708244729594237440e-05
2.187500000000001249e-02,4.084549628251704645e-02,-2.115931081943769641e-07,2.660737573942970968e+01,-2.326706531072575236e-06,2.274204296161923402e-05
2.625000000000001638e-02,5.198228215059314677e-02,-3.055176884470385551e-07,3.050378879366199669e+01,-2.757295193890587891e-06,2.267462727859854713e-05
3.062500000000002026e-02,5.704010919900224380e-02,-3.705327344167099696e-07,2.940009422289770669e+01,-2.715058520024447004e-06,1.905267256129048701e-05
3.500000000000002415e-02,5.736269654311169919e-02,-4.043089838233528859e-07,2.543550928775217557e+01,-2.386059577853302388e-06,1.422725613498356835e-05
3.937500000000002803e-02,5.463520569772750690e-02,-4.123348271227885170e-07,2.039497850906568388e+01,-1.939316559189764857e-06,9.550858153410799581e-06
4.375000000000003192e-02,5.019536189337112791e-02,-4.017493059712060990e-07,1.532926229689281428e+01,-1.478733248628462061e-06,5.573938709554643768e-06
