"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",12836018603565.1,1989677065051.32,0,0,0,0,0,0,0,0,0
"2",19200274117342.8,3080324870591.02,13358978988933294,72726238205153312,2.56496058515342e+29,1.39636370906211e+30,4.11499952253142e+28,2.24020440287861e+29,1.78462319626761e+32,9.71548288126801e+32,5.2891057234727e+33
"3",26879210934014.8,4477458379190.37,27887530631478944,167629075193718272,7.49594818272322e+29,4.50573727080579e+30,1.24865257700844e+29,7.50552207322046e+29,7.77714364721676e+32,4.67476096919131e+33,2.80995068503013e+34
"4",35401560398193.5,6142477077961,41552032712583968,283393871644091040,1.47100679574225e+30,1.00325852634862e+31,2.55232408479733e+29,1.74074036060845e+30,1.72657142254765e+33,1.17755914251011e+34,8.03120864854275e+34
"5",44111561474866.9,7996489999367.12,51895809740076352,416145570332664640,2.28920520163737e+30,1.83568309082229e+31,4.14984323595579e+29,3.32770389144608e+30,2.6931750685782e+33,2.15962113421595e+34,1.73177135707499e+35
"6",52307246340634.1,9934226956000.61,56516056566934624,560150195216733376,2.95619929304786e+30,2.9299914248956e+31,5.61443332594097e+29,5.56465916873107e+30,3.19406464987695e+33,3.16574801188484e+34,3.13768241201345e+35
"7",59385772721319,11843934539634.8,53520895812985672,708914023778649216,3.17837975459136e+30,4.20994070950746e+31,6.33897986511617e+29,8.39633129186344e+30,2.86448628862447e+33,3.79417136070215e+34,5.02559093110035e+35
"8",64946429999442.6,13626512562920.9,41817168060012928,856293597476835072,2.71587577818456e+30,5.56132121875001e+31,5.69822165915539e+29,1.16682954635668e+31,1.74867554455937e+33,3.58077732744019e+34,7.3323872507982e+35
"9",68826163747840.2,15208524553836.3,21167101979649196,997297707162023168,1.45685042691857e+30,6.8640175298479e+31,3.21920390191052e+29,1.51674266668583e+31,4.48046206216869e+32,2.11099022715689e+34,9.94602716710629e+35
"10",71072681945108.9,16547000869156.9,-7950434487933032,1128447343841096704,-5.65058701686289e+29,8.02017791606212e+31,-1.31555846382003e+29,1.86724191793364e+31,6.3209408546915e+31,-8.97164668029068e+33,1.27339340782203e+36
"11",71880266009457.4,17627147694257,-44581240168444952,1247743245854852096,-3.20451140233933e+30,8.96881164235506e+31,-7.85840104842321e+29,2.19941544791951e+31,1.98748697495657e+33,-5.56259413120102e+34,1.5568632075764e+36
"12",71517252211786.7,18455828298129.3,-87544380819118144,1354392209947148032,-6.26093356276558e+30,9.68624092724694e+31,-1.61570406086369e+30,2.49964300751085e+31,7.66401861300278e+33,-1.1856942740606e+35,1.83437825836552e+36
"13",70265924661192,19053803709341.8,-135626715433776512,1448451382544538112,-9.52993656871467e+30,1.01776775721274e+32,-2.58420481361793e+30,2.75985083255283e+31,1.83946059393546e+34,-1.96448703480028e+35,2.09801140759518e+36
"14",68383503417506.8,19448826358405.7,-187703339064491008,1530501013666315264,-1.28358119283941e+31,1.04661021298548e+32,-3.65060964835823e+30,2.97664484561601e+31,3.52325434959593e+34,-2.87280150706756e+35,2.34243335283362e+36
"15",66083385274609.5,19670548523721.8,-242793054913997312,1601395681755584512,-1.60445869898811e+31,1.0582564781455e+32,-4.77587256790843e+30,3.15003314636517e+31,5.89484675144713e+34,-3.88807749699522e+35,2.56446812954543e+36
"16",63531076510717.3,19747339365943.5,-300069906509035904,1662099464702832896,-1.90637641889894e+31,1.05594968260458e+32,-5.92558227734088e+30,3.28220421894399e+31,9.00419487923415e+34,-4.98746030982098e+35,2.76257463056544e+36
