# t,Ke0,Kd0,Ke1,Ke2,Ke3
0,0,0,0,0,0
0.002,-5.45864431263139E+018,35878265855005.3,-1.77936731605494E+032,-2.89043698858935E+033,0
0.004,-5.89927092727992E+019,387743925003410,-1.92260736671896E+033,-3.16751071742554E+034,0
0.006,-2.13799698474962E+020,1405250571146270,-6.9660198674483E+033,-1.16772071841345E+035,0
0.008,-4.58744284069042E+020,3.01520865085405E+015,-1.49421431597656E+034,-2.55463431031225E+035,0
0.01,-7.29503547873145E+020,4794840171687353,-2.37530066788771E+034,-4.1485127538909E+035,0
0.012,-9.64750504511466E+020,6341058554889600,-3.14010488029497E+034,-5.60758003018312E+035,0
0.014,-1.13361848326243E+021,7450985011047399,-3.68830731426181E+034,-6.7370206029252E+035,0
0.016,-1.23223476576961E+021,8099165076217158,-4.00757089244524E+034,-7.48664743332253E+035,0
0.018,-1.27102788008185E+021,8354142735025537,-4.13208961462966E+034,-7.89133600831368E+035,0
0.02,-1.26476628807977E+021,8312987271059402,-4.1101088094643E+034,-8.01890997407082E+035,0
0.022,-1.22737612759929E+021,8067231608639608,-3.98705444614926E+034,-7.94028843451246E+035,0
0.024,-1.17007637244087E+021,7690615190322032,-3.79948145681676E+034,-7.71676083080007E+035,0
0.026,-1.10118314078133E+021,7237797739630478,-3.57445772236062E+034,-7.39669358365066E+035,0
0.028,-1.02655282077996E+021,6747271808022941,-3.33102318160166E+034,-7.01638340459685E+035,0
0.03,-9.5016251654054E+020,6245177894707320,-3.08209058635431E+034,-6.60225666863138E+035,0
0.032,-8.74630498301009E+020,5748725231296748,-2.83614658776007E+034,-6.17317071979041E+035,0
0.034,-8.01623285620543E+020,5268867434531345,-2.59858075184094E+034,-5.74237111445499E+035,0
0.036,-7.32153474724143E+020,4812260048968091,-2.372656996711E+034,-5.31901458611416E+035,0
0.038,-6.66789887824108E+020,4382641804759978,-2.16019847298275E+034,-4.90930236313576E+035,0
0.04,-6.05802952189826E+020,3981790157091462,-1.96206096099326E+034,-4.5173046921855E+035,0
0.042,-5.49264278821151E+020,3.61017579156205E+015,-1.77845684207841E+034,-4.14555486710846E+035,0
0.044,-4.97114620943847E+020,3267409298081793,-1.60917598230767E+034,-3.79547649129626E+035,0
0.046,-4.49210267747451E+020,2.95254610527571E+015,-1.45373636091846E+034,-3.46769191469244E+035,0
0.048,-4.05354797277697E+020,2664295184170130,-1.31148703528543E+034,-3.16224644529765E+035,0
0.05,-3.65320879555019E+020,2401162354738411,-1.18167873963051E+034,-2.87877275298772E+035,0
0.052,-3.2886528443797E+020,2161548928766012,-1.0635123975248E+034,-2.6166125128578E+035,0
0.054,-2.95739212287318E+020,1.9438196107939E+015,-9.56172446884653E+033,-2.37490715677573E+035,0
0.056,-2.65695374631009E+020,1746349037574232,-8.58849622675E+033,-2.15266602425981E+035,0
0.058,-2.38492793313491E+020,1567553321726801,-7.70756347758619E+033,-1.94881775224405E+035,0
0.06,-2.13899982229269E+020,1.40591096451686E+015,-6.91136890557756E+033,-1.76224906621694E+035,0
0.062,-1.91696972822361E+020,1.25997616891472E+015,-6.19273787220517E+033,-1.59183398382003E+035,0
0.064,-1.7167650795258E+020,1128386686718962,-5.54491581849491E+033,-1.43645564491854E+035,0
0.066,-1.53644636057822E+020,1.00986772377051E+015,-4.96158636542291E+033,-1.29502242365578E+035,0
0.068,-1.37420873502267E+020,903233007097520,-4.43687555026363E+033,-1.16647958056265E+035,0
0.07,-1.22838058224839E+020,807383822973879,-3.96534618091941E+033,-1.04981742490701E+035,0
0.072,-1.09741985874345E+020,721306625360531,-3.54198525410895E+033,-9.44076744960472E+034,0
0.074,-9.79908965064828E+019,644069662100173,-3.16218663328525E+033,-8.48352103968419E+034,0
0.076,-8.74548628905508E+019,574818954428819,-2.82173063064747E+033,-7.61793477131317E+034,0
0.078,-7.80151187918739E+019,512773881945695,-2.51676172627592E+033,-6.83606609564144E+034,0
