# t,Ke0,Kd0,Ke1,Ke2,Ke3
0,0,0,0,0,0
0.002,-1.36332303024386E+019,89606909931929.7,-4.48974411798681E+032,-2.5735291266227E+033,0
0.004,-1.45051733539145E+020,953379246991186,-4.77655814898195E+033,-2.77591435907588E+034,0
0.006,-5.17103317560661E+020,3.39875733514439E+015,-1.70266817272344E+034,-1.00627683873078E+035,0
0.008,-1.09055913825816E+021,7167903005632111,-3.5905055994615E+034,-2.16266117192714E+035,0
0.01,-1.70366945641568E+021,1.11976864034844E+016,-5.60841823100952E+034,-3.44772865845781E+035,0
0.012,-2.21274472551946E+021,1.45436810487609E+016,-7.28335813624021E+034,-4.57307519438686E+035,0
0.014,-2.5533374780827E+021,1.67822934371294E+016,-8.40333995734546E+034,-5.39010827629233E+035,0
0.016,-2.72577472467205E+021,1.79156723801548E+016,-8.96966660797457E+034,-5.87609081260684E+035,0
0.018,-2.76171271793268E+021,1.81518841351605E+016,-9.08673143277382E+034,-6.07640237488169E+035,0
0.02,-2.69995214052629E+021,1.77459532430113E+016,-8.8823741142878E+034,-6.05843446191307E+035,0
0.022,-2.57484949617392E+021,1.69236941896846E+016,-8.46974079820861E+034,-5.88710941649263E+035,0
0.024,-2.41281717215659E+021,1.5858707358361E+016,-7.93578292010076E+034,-5.61566621979402E+035,0
0.026,-2.23259182777302E+021,1.46741430185908E+016,-7.34215942847259E+034,-5.28427812291482E+035,0
0.028,-2.04675943578832E+021,1.34527249175708E+016,-6.73027042316866E+034,-4.92178098826706E+035,0
0.03,-1.8634006172527E+021,1.22475645345985E+016,-6.12668168287655E+034,-4.5481722975323E+035,0
0.032,-1.68745935042546E+021,1.10911571688291E+016,-5.54763484829641E+034,-4.17692997137298E+035,0
0.034,-1.52176439920817E+021,1.00020954656353E+016,-5.00241201752608E+034,-3.81686876276987E+035,0
0.036,-1.36774977995324E+021,8989804819230905,-4.49570821912314E+034,-3.4735267694289E+035,0
0.038,-1.22594700960202E+021,8057778766812664,-4.02925186679522E+034,-3.15016421552548E+035,0
0.04,-1.09631526942737E+021,7205749052883595,-3.6028912865849E+034,-2.84846961361004E+035,0
0.042,-9.78460500219506E+020,6431125674959207,-3.2153154726844E+034,-2.56905487061604E+035,0
0.044,-8.71779885982942E+020,5729946531096495,-2.86452919953619E+034,-2.31180171775075E+035,0
0.046,-7.75556727487041E+020,5097500995377155,-2.54816484861687E+034,-2.07610454646077E+035,0
0.048,-6.89022458990521E+020,4528737535462200,-2.26368612415851E+034,-1.86104125982231E+035,0
0.05,-6.11396896403923E+020,4018528252028669,-2.00852016654373E+034,-1.66549395944133E+035,0
0.052,-5.41914017892396E+020,3561838327341235,-1.78014209622746E+034,-1.48823443819839E+035,0
0.054,-4.79838084229036E+020,3153831979844801,-1.57612780870215E+034,-1.32798475555376E+035,0
0.056,-4.24473277127382E+020,2789935814379055,-1.39418547659528E+034,-1.1834599899289E+035,0
0.058,-3.75168971509168E+020,2.46587347550692E+015,-1.23217271820587E+034,-1.05339811231624E+035,0
0.06,-3.31322063549353E+020,2.1776809493205E+015,-1.08810410725256E+034,-9.36580468858658E+034,0
0.062,-2.92377320046127E+020,1.92170885996711E+015,-9.60152197097602E+033,-8.31845366858E+034,0
0.064,-2.57826411923722E+020,1.69461611735407E+015,-8.46644236840191E+033,-7.38096573925304E+034,0
0.066,-2.2720609149126E+020,1.49335793697418E+015,-7.46056088441114E+033,-6.54308061387535E+034,0
0.068,-2.00095834863696E+020,1.31517034439292E+015,-6.57004399597832E+033,-5.79525983214164E+034,0
0.07,-1.76115175529708E+020,1157552649705539,-5.78237773523165E+033,-5.1286863627092E+034,0
0.072,-1.54920888258367E+020,1.01824893829766E+015,-5.08627457268053E+033,-4.53524967423208E+034,0
0.074,-1.3620413507737E+020,895229312303376,-4.47157914446512E+033,-4.00752058478073E+034,0
0.076,-1.19687650989769E+020,786671393236945,-3.92917536326802E+033,-3.53871918128189E+034,0
0.078,-1.05123022355379E+020,690942433658109,-3.4508966413046E+033,-3.12267832092554E+034,0
0.08,-9.22880928084879E+019,606582267110130,-3.02944036167353E+033,-2.75380462379469E+034,0
0.082,-8.09845183695859E+019,532287238633233,-2.65828730095189E+033,-2.42703839712145E+034,0
0.084,-7.10354837066868E+019,466895194473414,-2.33162638880932E+033,-2.1378135651879E+034,0
0.086,-6.22835844684227E+019,409371563318669,-2.04428495969819E+033,-1.88201839214955E+034,0
0.088,-5.45888755167402E+019,358796527941537,-1.79166448553911E+033,-1.65595756069548E+034,0
0.09,-4.78271280516224E+019,314353569827193,-1.56968319538827E+033,-1.45631743064288E+034,0
0.092,-4.1888067604922E+019,275317888033516,-1.37471809431549E+033,-1.28012793305329E+034,0
0.094,-3.66739789287455E+019,241047229566359,-1.20355904692154E+033,-1.12473328069626E+034,0
0.096,-3.20983706183801E+019,210973112357650,-1.0533648408873E+033,-9.87762497076844E+033,0
0.098,-2.80847460763605E+019,184592747186845,-9.21622757624446E+032,-8.67101439720937E+033,0
0.1,-2.45654994919478E+019,161461781291624,-8.06112260505422E+032,-7.60867144902478E+033,0
0.102,-2.14809272308098E+019,141187800533310,-7.04872483164219E+032,-6.67384426127163E+033,0
0.104,-1.87783424236558E+019,123424509856599,-6.161731152527E+032,-5.85164544763314E+033,0
0.106,-1.64112824669274E+019,107866524434569,-5.38488346455173E+032,-5.12885801748687E+033,0
0.108,-1.43388005672041E+019,94244713202782.7,-4.70473576332587E+032,-4.49375919128731E+033,0
0.11,-1.25248333275608E+019,82322042197798.9,-4.10944626225898E+032,-3.93596086546726E+033,0
0.112,-1.09376370212341E+019,71889869353635.7,-3.58859210848198E+032,-3.44626550165299E+033,0
0.114,-9.54928577154852E+018,62764646190086.2,-3.13300446157159E+032,-3.01653623970206E+033,0
0.116,-8.33522540077516E+018,54784985395788.2,-2.73462188090753E+032,-2.63958007063766E+033,0
0.118,-7.2738772346691E+018,47809056755071.1,-2.38636014038053E+032,-2.30904295390579E+033,0
0.12,-6.34628664915662E+018,41712277150470.7,-2.0819967542311E+032,-2.01931582044242E+033,0
0.122,-5.53581161956856E+018,36385263490991.8,-1.81606865416477E+032,-1.76545046591021E+033,0
0.124,-4.82784697829362E+018,31732020340048.6,-1.58378160460766E+032,-1.54308440440499E+033,0
0.126,-4.20958050057279E+018,27668336740469.8,-1.38093007953759E+032,-1.34837381983184E+033,0
0.128,-3.66977732182246E+018,24120369254367.7,-1.20382645070903E+032,-1.17793381853231E+033,0
0.13,-3.19858954300716E+018,21023390555989,-1.0492384533175E+032,-1.02878525137338E+033,0
0.132,-2.787388203383E+018,18320685038755.8,-9.14334001539384E+031,-8.98307435589132E+032,0
0.134,-2.42861509476229E+018,15962574834841.3,-7.96632523412324E+031,-7.84196165684976E+032,0
0.136,-2.11565215913496E+018,13905561404581.3,-6.93962072643094E+031,-6.84426458271259E+032,0
0.138,-1.84270645414773E+018,12111569448818,-6.04421554740717E+031,-5.97219527633557E+032,0
0.14,-1.60470888983606E+018,10547281335662.5,-5.26347476958857E+031,-5.21013537102297E+032,0
0.142,-1.39722513740664E+018,9183551530438.35,-4.58284696448737E+031,-4.54437715846884E+032,0
0.144,-1.21637728846565E+018,7994891685023.3,-3.98960699393942E+031,-3.96289471717871E+032,0
0.146,-1.05877500204087E+018,6959018087713.69,-3.47262996242606E+031,-3.45514168292087E+032,0
0.148,-9.21455019416625E+017,6056454112256.93,-3.0221926502934E+031,-3.0118726853221E+032,0
0.15,-8.01828054240692E+017,5270181142171.58,-2.62979916671115E+031,-2.62498578620737E+032,0
0.152,-6.97632179030982E+017,4585332194149.25,-2.28802793521761E+031,-2.28738353788716E+032,0
0.154,-6.06891930661892E+017,3988923130534.79,-1.99039745788723E+031,-1.99285053510285E+032,0
0.156,-5.27882447619796E+017,3469616944095.89,-1.7312486008265E+031,-1.73594556501377E+032,0
0.158,-4.59098032072733E+017,3017517125854.98,-1.50564140737593E+031,-1.51190666726912E+032,0
0.16,-3.99224601038297E+017,2623986594740.37,-1.30926467957913E+031,-1.31656760287181E+032,0
0.162,-3.47115554173323E+017,2281489083692.33,-1.1383567761543E+031,-1.14628439793906E+032,0
0.164,-3.01770641701891E+017,1983450244839.15,-9.89636259328496E+030,-9.9787077846706E+031,0
0.166,-2.62317465630762E+017,1724136062415.69,-8.60241185823162E+030,-8.68541446250109E+031,0
0.168,-2.27995291281703E+017,1498546450751.44,-7.47675981486712E+030,-7.55862265873749E+031,0
0.17,-1.98140884950291E+017,1302322169400.31,-6.49764966483938E+030,-6.57706539454357E+031,0
0.172,-1.72176127796333E+017,1131663412874.14,-5.64611710513327E+030,-5.72216640902186E+031,0
0.174,-1.49597186280114E+017,983258631126.647,-4.90563496860716E+030,-4.97770366082728E+031,0
0.176,-1.29965046170287E+017,854222312371.009,-4.26180261715354E+030,-4.32951430431392E+031,0
0.178,-1.12897240646458E+017,742040614334.788,-3.70207452400266E+030,-3.76523612315176E+031,0
0.18,-9.80606237378774E+016,644523866206.072,-3.21552316198145E+030,-3.2740809962705E+031,0
0.182,-8.51650585854238E+016,559765083432.652,-2.79263191345138E+030,-2.8466364954836E+031,0
0.184,-7.39579060542702E+016,486103742997.161,-2.42511424457271E+030,-2.47469217845001E+031,0
0.186,-6.42192133467751E+016,422094159583.265,-2.10575585002585E+030,-2.15108755146285E+031,0
0.188,-5.5757514667518E+016,366477884583.575,-1.82827688162988E+030,-1.86957903962039E+031,0
0.19,-4.84061668951726E+016,318159621546.497,-1.58721173216003E+030,-1.62472362265257E+031,0
0.192,-4.20201527867006E+016,276186214578.09,-1.37780415995714E+030,-1.41177707780768E+031,0
0.194,-3.64732926464487E+016,239728321460.598,-1.19591581575476E+030,-1.22660502091456E+031,0
0.196,-3.1655812761357E+016,208064431692.551,-1.03794647519131E+030,-1.06560515690378E+031,0
