# t,Ke0,Kd0,Ke1,Ke2,Ke3
0,0,0,0,0,0
0.002,3.85241453688229E+017,-2532080057885.09,1.26601295575383E+031,1.00439230953857E+032,26003486.0650617
0.004,5.20096794437762E+018,-34184452236922.1,1.70900813202065E+032,1.37410480759869E+033,259566911.718492
0.006,2.31992142752823E+019,-152481715006563,7.62215280141127E+032,6.22875374245981E+033,849328027.561922
0.008,6.01469968423062E+019,-395328827832339,1.97585169647472E+033,1.64457989352966E+034,1615210613.80869
0.01,1.13412053769414E+020,-745424731288094,3.72502489019832E+033,3.16262869479311E+034,2236188155.75766
0.012,1.7464505403745E+020,-1147891707309313,5.73523461081905E+033,4.97134266517395E+034,2530149019.95007
0.014,2.35004994712176E+020,-1544620395336581,7.71603058620577E+033,6.83103111250496E+034,2499994408.09456
0.016,2.88233136985344E+020,-1.89447389197611E+015,9.46196150124617E+033,8.55519812479892E+034,2243972538.34144
0.018,3.31193384253866E+020,-2.17683951147443E+015,1.08702379214814E+034,1.00343675030462E+035,1871839700.26121
0.02,3.63149363920321E+020,-2386877262221885,1.19169066962079E+034,1.12242214251146E+035,1466751893.3503
0.022,3.8480043463426E+020,-2.52918380534036E+015,1.26251395912332E+034,1.21237175959302E+035,1079270299.38263
0.024,3.97517235299066E+020,-2612767940194252,1.30401057924581E+034,1.27557183321638E+035,734385010.371977
0.026,4.02858321878561E+020,-2647873596961550,1.32130953314251E+034,1.3153561707758E+035,440687344.22605
0.028,4.02312035386282E+020,-2644283208027874,1.31930488189338E+034,1.3353037700739E+035,197683060.465053
0.03,3.97184064539613E+020,-2.61057868832394E+015,1.3022874880832E+034,1.33881867665138E+035,594562.10102497
0.032,3.88567037012647E+020,-2.55394156618748E+015,1.2738461108499E+034,1.32894590874686E+035,-156851619.363201
0.034,3.77350541309555E+020,-2480218853343326,1.23690111098528E+034,1.30831895545389E+035,-280976795.468035
0.036,3.64247512679051E+020,-2394096471264960,1.19379170567406E+034,1.27917312562323E+035,-377499508.387921
0.038,3.49824416494172E+020,-2299297637407201,1.14637552525284E+034,1.24338691783948E+035,-451319507.021288
0.04,3.3452942453271E+020,-2.19876805950395E+015,1.09612144492657E+034,1.20253133838348E+035,-506516184.397852
0.042,3.18716431372879E+020,-2.09483378825541E+015,1.04418865622407E+034,1.15791753030433E+035,-546438962.236126
0.044,3.02664561891187E+020,-1.98932943440093E+015,9.91490860565786E+033,1.11063881114562E+035,-573824768.843956
0.046,2.86593604181283E+020,-1.88369960480654E+015,9.38747032849122E+033,1.06160614520053E+035,-590912611.276615
0.048,2.70676060228458E+020,-1.77907810805885E+015,8.86521044308132E+033,1.01157742432425E+035,-599542804.96817
0.05,2.55046517212407E+020,-1676349549344749,8.35252463771439E+033,9.61181439830661E+034,-601238118.020253
0.052,2.39808952360719E+020,-1576197343163181,7.8528055765237E+033,9.10937521587998E+034,-597267601.578717
0.054,2.25042466782018E+020,-1.47914140017724E+015,7.36863120753211E+033,8.61271731467588E+034,-588696217.082942
0.056,2.10805831461233E+020,-1.38556800675246E+015,6.90191399710433E+033,8.12530346969392E+034,-576422807.069554
0.058,1.9714113387571E+020,-1.29575379313592E+015,6.45402058717496E+033,7.64991214801199E+034,-561209383.897039
0.06,1.84076738866744E+020,-1.20988519443878E+015,6.02586890710845E+033,7.18873417475039E+034,-543703807.588194
0.062,1.71629720674139E+020,-1.12807443571286E+015,5.61800790409074E+033,6.74345585771087E+034,-524457577.144401
0.064,1.59807881158728E+020,-1.05037279717329E+015,5.23068367708991E+033,6.3153310541234E+034,-503939920.163286
0.066,1.48611438868677E+020,-976781715958949,4.86389479987931E+033,5.90524403681193E+034,-482549390.23797
0.068,1.38034451832774E+020,-907262137761111,4.51743890197378E+033,5.51376456362378E+034,-460623312.970015
0.07,1.28066021455606E+020,-841742429697309,4.19095206581781E+033,5.1411962308543E+034,-438445833.106344
0.072,1.18691313846225E+020,-780125093221756,3.88394223511358E+033,4.78761896299115E+034,-416254736.221588
0.074,1.09892427020679E+020,-722292464013547,3.59581756947962E+033,4.45292632995155E+034,-394247387.214147
0.076,1.01649126732257E+020,-668111548387214,3.32591049329176E+033,4.13685826840384E+034,-372585917.121498
0.078,9.39394695163954E+019,-617438118397194,3.07349804944111E+033,3.83902970091017E+034,-351401783.055547
0.08,8.67403284275999E+019,-570120167366881,2.83781906640322E+033,3.55895548503365E+034,-330799792.057495
0.082,8.00278345720473E+019,-526000811960977,2.61808856878232E+033,3.29607207704925E+034,-310861693.78799
0.084,7.37777456733539E+019,-484920714671472,2.41350980011779E+033,3.0497562566605E+034,-291649346.5366
0.086,6.79657514067978E+019,-446720090696815,2.22328417728533E+033,2.81934122701934E+034,-273207539.448056
0.088,6.2567723995854E+019,-411240355046492,2.04661945497351E+033,2.60413037634743E+034,-255566484.679121
0.09,5.75598776520381E+019,-378325170502729,1.8827349094404E+033,2.40340714345077E+034,-238748482.904848
0.092,5.29190442625614E+019,-347822259629953,1.73087032639738E+033,2.21644954623038E+034,-222754048.148966
0.094,4.86227335519523E+019,-319583800210757,1.59028794013316E+033,2.04253562759491E+034,-207581622.193615
0.096,4.46492108744147E+019,-293466936555006,1.46027495139015E+033,1.88094942477718E+034,-193224485.614123
0.098,4.09775768455185E+019,-269334302899980,1.34014610724453E+033,1.73098682493632E+034,-179669352.188674
0.1,3.75878251861873E+019,-247054403603299,1.22924557012684E+033,1.59196032918645E+034,-166897483.531216
0.102,3.44608782891967E+019,-226501846913111,1.12694805992669E+033,1.46320270471282E+034,-154886079.339857
0.104,3.15786053170021E+019,-207557463921284,1.03265942648432E+033,1.344069728708E+034,-143609354.991318
